,stock,entry_time,entry_price,exit_time,exit_price,pnl
2018-10-11,175,2018-10-11,13.0,2018-10-24,14.82,0.14
2018-10-11,1038,2018-10-11,61.0,2018-11-30,58.9,-0.034426229508196744
2018-10-11,2319,2018-10-11,22.0,2018-10-24,23.95,0.08863636363636361
2018-10-15,1398,2018-10-15,5.22,2018-10-24,5.25,0.005747126436781657
2018-10-15,2313,2018-10-15,87.0,2018-10-25,86.05,-0.01091954022988509
2018-10-15,857,2018-10-15,5.96,2018-11-12,5.89,-0.011744966442953067
2018-10-15,2388,2018-10-15,34.35,2019-01-15,29.2,-0.14992721979621548
2018-10-15,1299,2018-10-15,62.7,2018-10-24,62.0,-0.011164274322169104
2018-10-15,700,2018-10-15,291.6,2018-11-06,294.8,0.010973936899862785
2018-10-15,12,2018-10-15,37.2,2018-11-06,37.85,0.017473118279569853
2018-10-18,66,2018-10-18,39.45,2018-11-06,38.55,-0.0228136882129279
2018-10-22,939,2018-10-22,6.25,2018-11-06,6.5,0.04
2018-10-22,1044,2018-10-22,62.65,2019-01-08,57.95,-0.07501995211492411
2018-10-23,762,2018-10-23,8.93,2019-01-11,8.5,-0.04815229563269874
2018-10-23,1088,2018-10-23,18.24,2018-11-06,18.78,0.029605263157894888
2018-10-24,2018,2018-10-24,63.8,2019-02-15,54.0,-0.15360501567398116
2018-10-24,386,2018-10-24,6.32,2018-12-05,6.64,0.050632911392404965
2018-10-25,823,2018-10-25,72.1,2018-11-06,71.4,-0.009708737864077513
2018-10-29,3,2018-10-29,14.86,2018-11-19,15.2,0.02288021534320322
2018-10-29,1,2018-10-29,78.8,2018-12-19,79.0,0.002538071065989884
2018-10-30,267,2018-10-30,11.78,2018-11-06,12.0,0.018675721561969495
2018-11-01,669,2018-11-01,37.65,2018-11-06,41.95,0.11420982735723784
2018-11-01,941,2018-11-01,74.5,2018-11-12,73.55,-0.012751677852349031
2018-11-01,2319,2018-11-01,23.2,2018-11-09,25.2,0.08620689655172414
2018-11-01,2318,2018-11-01,74.8,2018-11-06,78.4,0.04812834224598942
2018-11-02,2628,2018-11-02,16.42,2018-11-06,16.34,-0.0048721071863582115
2018-11-05,288,2018-11-05,5.84,2018-11-21,6.22,0.06506849315068491
2018-11-05,1928,2018-11-05,34.25,2018-12-06,36.2,0.056934306569343146
2018-11-13,83,2018-11-13,12.3,2018-12-05,13.7,0.113821138211382
2018-11-13,388,2018-11-13,217.6,2018-12-06,233.2,0.07169117647058822
2018-11-13,1997,2018-11-13,46.8,2018-11-21,49.2,0.051282051282051405
2018-11-14,1109,2018-11-14,28.1,2018-11-21,29.1,0.03558718861209964
2018-11-14,175,2018-11-14,15.22,2019-04-23,17.9,0.1760840998685938
2018-11-14,1398,2018-11-14,5.4,2018-11-30,5.55,0.027777777777777676
2018-11-14,2318,2018-11-14,78.2,2019-02-14,78.3,0.0012787723785165513
2018-11-16,688,2018-11-16,25.85,2018-11-21,26.15,0.0116054158607349
2018-11-20,1093,2018-11-20,16.68,2019-03-26,14.5,-0.13069544364508393
2018-11-26,1299,2018-11-26,64.3,2018-12-06,63.7,-0.00933125972006212
2018-11-27,1088,2018-11-27,17.94,2018-12-06,17.5,-0.024526198439241986
2018-11-27,17,2018-11-27,10.56,2018-12-17,10.8,0.022727272727272745
2018-11-28,883,2018-11-28,12.7,2019-01-15,12.58,-0.009448818897637734
2018-11-29,823,2018-11-29,75.25,2018-12-11,76.35,0.014617940199335473
2018-11-30,1177,2018-11-30,7.12,2019-04-03,7.32,0.02808988764044946
2018-12-04,941,2018-12-04,74.5,2018-12-11,76.0,0.020134228187919462
2018-12-04,1997,2018-12-04,48.6,2018-12-17,48.95,0.007201646090535008
2018-12-04,857,2018-12-04,5.65,2019-02-27,5.25,-0.0707964601769912
2018-12-04,2628,2018-12-04,17.68,2018-12-17,16.52,-0.06561085972850679
2018-12-10,700,2018-12-10,304.2,2018-12-27,312.0,0.02564102564102568
2018-12-12,66,2018-12-12,39.95,2018-12-20,41.0,0.026282853566958624
2018-12-12,2382,2018-12-12,74.45,2019-01-15,67.75,-0.0899932840832774
2018-12-13,1299,2018-12-13,65.0,2019-01-18,69.0,0.06153846153846154
2018-12-13,939,2018-12-13,6.62,2019-01-15,6.55,-0.01057401812688826
2018-12-13,1113,2018-12-13,57.3,2018-12-21,56.0,-0.02268760907504358
2018-12-13,1398,2018-12-13,5.58,2019-01-03,5.42,-0.028673835125448053
2018-12-13,941,2018-12-13,77.6,2019-01-03,73.0,-0.059278350515463846
2018-12-13,1109,2018-12-13,30.8,2018-12-17,31.5,0.022727272727272704
2018-12-14,5,2018-12-14,64.35,2019-01-03,63.3,-0.016317016317016275
2018-12-14,1928,2018-12-14,35.05,2019-01-15,35.15,0.002853067047075647
2018-12-17,27,2018-12-17,51.15,2019-01-14,47.65,-0.06842619745845553
2018-12-20,1109,2018-12-20,30.0,2019-01-22,30.8,0.02666666666666669
2018-12-21,1088,2018-12-21,17.36,2019-01-15,18.42,0.061059907834101514
2018-12-24,1038,2018-12-24,58.75,2018-12-31,59.6,0.014468085106383003
2018-12-27,2,2018-12-27,89.7,2019-01-17,91.0,0.014492753623188373
2018-12-27,1997,2018-12-27,47.85,2019-01-17,48.75,0.018808777429467054
2018-12-27,101,2018-12-27,15.18,2019-02-18,18.28,0.20421607378129128
2018-12-28,2313,2018-12-28,84.1,2019-01-03,86.5,0.028537455410225992
2018-12-28,12,2018-12-28,39.2,2019-01-09,42.3,0.07908163265306108
2018-12-28,386,2018-12-28,5.4,2019-12-20,4.59,-0.15000000000000008
2019-01-02,3988,2019-01-02,3.38,2019-01-15,3.4,0.0059171597633136145
2019-01-03,17,2019-01-03,10.14,2019-01-15,11.32,0.11637080867850096
2019-01-04,16,2019-01-04,112.0,2019-01-15,120.9,0.07946428571428577
2019-01-04,267,2019-01-04,12.1,2019-04-08,12.16,0.004958677685950454
2019-01-07,19,2019-01-07,82.55,2019-01-16,88.4,0.07086614173228357
2019-01-07,2007,2019-01-07,9.3,2019-01-18,9.72,0.045161290322580636
2019-01-07,1113,2019-01-07,60.5,2019-01-11,64.65,0.06859504132231414
2019-01-07,6,2019-01-07,55.0,2019-02-26,54.0,-0.01818181818181818
2019-01-07,1,2019-01-07,76.8,2019-01-11,78.0,0.015625000000000038
2019-01-07,1038,2019-01-07,60.0,2019-05-16,63.25,0.05416666666666667
2019-01-08,2319,2019-01-08,23.0,2019-01-18,25.8,0.12173913043478264
2019-01-10,11,2019-01-10,173.0,2019-02-18,184.5,0.06647398843930635
2019-01-14,688,2019-01-14,27.5,2019-01-18,27.25,-0.00909090909090909
2019-01-16,762,2019-01-16,8.69,2019-01-28,9.07,0.04372842347525901
2019-01-16,2313,2019-01-16,90.0,2019-01-23,90.0,0.0
2019-01-21,27,2019-01-21,49.4,2019-01-29,51.0,0.032388663967611364
2019-01-22,1113,2019-01-22,62.75,2019-03-22,67.85,0.08127490039840628
2019-01-28,669,2019-01-28,44.5,2019-02-15,47.65,0.07078651685393256
2019-01-30,5,2019-01-30,66.45,2019-02-18,67.05,0.00902934537246041
2019-01-31,2319,2019-01-31,24.95,2019-02-18,25.5,0.022044088176352734
2019-01-31,2,2019-01-31,91.85,2019-02-26,93.4,0.016875340228633767
2019-02-01,66,2019-02-01,43.8,2019-03-18,47.15,0.07648401826484022
2019-02-04,1,2019-02-04,78.6,2019-02-13,78.8,0.00254452926208655
2019-02-11,83,2019-02-11,14.2,2019-02-15,14.64,0.030985915492957837
2019-02-19,1,2019-02-19,81.6,2019-03-26,83.0,0.01715686274509811
2019-02-19,1398,2019-02-19,5.94,2019-02-27,6.13,0.0319865319865319
2019-02-19,2018,2019-02-19,53.1,2019-02-26,53.0,-0.0018832391713747914
2019-02-19,2313,2019-02-19,98.2,2019-02-26,99.55,0.013747454175152692
2019-02-19,883,2019-02-19,13.6,2019-03-19,14.0,0.02941176470588238
2019-02-19,1109,2019-02-19,29.65,2019-02-26,30.05,0.01349072512647562
2019-02-19,669,2019-02-19,49.05,2019-02-28,50.1,0.021406727828746266
2019-02-19,27,2019-02-19,53.2,2019-02-27,56.3,0.058270676691729216
2019-02-19,939,2019-02-19,6.94,2019-02-27,7.13,0.027377521613832778
2019-02-19,1928,2019-02-19,37.3,2019-02-25,39.0,0.04557640750670249
2019-02-19,3988,2019-02-19,3.57,2019-02-27,3.74,0.04761904761904773
2019-02-27,941,2019-02-27,83.55,2019-08-23,66.6,-0.20287253141831244
2019-02-28,2,2019-02-28,93.2,2019-05-16,87.1,-0.06545064377682412
2019-03-04,2319,2019-03-04,25.0,2019-03-08,25.0,0.0
2019-03-04,288,2019-03-04,7.23,2019-03-14,7.6,0.0511756569847855
2019-03-04,2018,2019-03-04,47.5,2019-03-27,46.8,-0.014736842105263218
2019-03-06,388,2019-03-06,276.4,2019-05-07,268.0,-0.030390738060781398
2019-03-12,3988,2019-03-12,3.65,2019-04-24,3.8,0.04109589041095888
2019-03-13,762,2019-03-13,9.65,2019-03-22,10.56,0.09430051813471503
2019-03-13,1109,2019-03-13,31.45,2019-03-20,33.4,0.06200317965023845
2019-03-14,1398,2019-03-14,5.98,2019-12-27,5.96,-0.0033444816053512477
2019-03-15,688,2019-03-15,28.05,2019-03-21,29.9,0.06595365418894823
2019-03-18,3328,2019-03-18,6.73,2019-04-12,6.6,-0.01931649331352166
2019-03-19,2319,2019-03-19,26.35,2019-04-03,29.0,0.10056925996204928
2019-03-19,857,2019-03-19,5.29,2019-03-25,5.15,-0.026465028355387464
2019-03-22,939,2019-03-22,6.95,2019-04-18,7.14,0.027338129496402807
2019-03-27,151,2019-03-27,6.36,2019-04-08,6.68,0.05031446540880494
2019-03-27,2313,2019-03-27,103.0,2019-05-07,104.2,0.011650485436893232
2019-03-27,883,2019-03-27,14.08,2019-04-03,14.68,0.04261363636363634
2019-03-28,1928,2019-03-28,38.3,2019-04-09,42.6,0.11227154046997401
2019-03-28,1109,2019-03-28,33.25,2019-04-08,35.8,0.07669172932330819
2019-03-28,2007,2019-03-28,12.16,2019-04-12,12.98,0.06743421052631582
2019-03-28,857,2019-03-28,5.08,2019-04-25,5.07,-0.001968503937007832
2019-03-28,83,2019-03-28,14.74,2019-04-03,15.12,0.025780189959294368
2019-03-28,700,2019-03-28,353.0,2019-04-08,380.0,0.0764872521246459
2019-03-28,27,2019-03-28,52.3,2019-04-09,59.8,0.14340344168260039
2019-04-01,6,2019-04-01,54.75,2019-05-16,55.9,0.021004566210045636
2019-04-01,688,2019-04-01,30.25,2019-04-03,30.55,0.00991735537190085
2019-04-02,5,2019-04-02,65.05,2019-04-12,66.6,0.023827824750192118
2019-04-03,1088,2019-04-03,17.74,2019-06-26,17.16,-0.03269447576099201
2019-04-08,762,2019-04-08,10.5,2019-08-23,7.9,-0.24761904761904757
2019-04-17,267,2019-04-17,11.9,2019-10-15,10.14,-0.14789915966386552
2019-04-18,83,2019-04-18,14.08,2019-07-05,13.44,-0.0454545454545455
2019-04-25,688,2019-04-25,28.9,2019-05-02,29.0,0.003460207612456797
2019-04-26,27,2019-04-26,58.3,2019-06-13,48.55,-0.1672384219554031
2019-04-30,939,2019-04-30,6.96,2019-09-17,6.09,-0.12500000000000003
2019-05-03,2382,2019-05-03,96.05,2019-07-04,86.3,-0.1015096304008329
2019-05-06,175,2019-05-06,14.9,2019-07-29,12.48,-0.16241610738255033
2019-05-06,3328,2019-05-06,6.6,2019-10-21,5.25,-0.2045454545454545
2019-05-06,16,2019-05-06,134.0,2019-09-06,115.9,-0.1350746268656716
2019-05-08,151,2019-05-08,6.23,2019-07-02,6.36,0.02086677367576242
2019-05-08,1997,2019-05-08,58.8,2019-09-06,45.15,-0.23214285714285712
2019-05-08,883,2019-05-08,13.7,2019-06-13,12.36,-0.09781021897810219
2019-05-09,17,2019-05-09,12.8,2019-08-27,9.85,-0.23046875000000008
2019-05-10,1928,2019-05-10,40.75,2019-06-13,36.05,-0.1153374233128835
2019-05-10,2018,2019-05-10,46.75,2019-07-05,46.05,-0.014973262032085622
2019-05-14,388,2019-05-14,245.0,2019-09-06,251.8,0.02775510204081637
2019-05-14,1113,2019-05-14,61.4,2019-07-30,61.2,-0.003257328990227944
2019-05-14,688,2019-05-14,28.3,2019-06-12,28.0,-0.010600706713780944
2019-05-14,2388,2019-05-14,32.35,2019-09-06,27.1,-0.16228748068006182
2019-05-14,1177,2019-05-14,7.04,2019-05-20,7.96,0.13068181818181818
2019-05-14,700,2019-05-14,369.0,2019-11-11,327.0,-0.11382113821138211
2019-05-14,823,2019-05-14,94.35,2019-05-16,95.5,0.012188659247482837
2019-05-14,2313,2019-05-14,97.1,2019-06-26,103.0,0.060762100926879566
